"rung","weight_scheme","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","mean_w_cv"
"L1_param","design","Fully-Aware",1000,0.209204373074215,0.0181743109947822,0.0432206169021351,0.0441116771095658,1.020616554582,0.934,0.00785136930732467,1.40973772824995
"L1_param","raked","Fully-Aware",1000,0.209204373074215,0.0183068403159984,0.0433974140241611,0.0442185080229776,1.01892034392555,0.934,0.00785136930732467,1.41735750424713
"L1_param","design","Fully-Aware-CF",1000,0.209204373074215,0.0192375333613498,0.0445731381999232,0.0467361543083868,1.04852734619586,0.944,0.00727076337120113,1.40973772824995
"L1_param","raked","Fully-Aware-CF",1000,0.209204373074215,0.0196724157006034,0.0447820240177178,0.0468756253287831,1.04675093091453,0.945,0.00720936890441875,1.41735750424713
"L1_param","design","Non-Aware",1000,0.209204373074215,0.0311420210730471,0.0393054197861828,0.024434169834582,0.621648871008152,0.638,0.0151972365909069,1.40973772824995
"L1_param","raked","Non-Aware",1000,0.209204373074215,0.0311420210730471,0.0393054197861828,0.024434169834582,0.621648871008152,0.638,0.0151972365909069,1.41735750424713
"L1_param","design","Partially-Aware",1000,0.209204373074215,0.0181743109947822,0.0432206169021351,0.0396895671490002,0.918301727133367,0.913,0.00891240708226459,1.40973772824995
"L1_param","raked","Partially-Aware",1000,0.209204373074215,0.0183068403159984,0.0433974140241611,0.0398195423336266,0.917555647704203,0.911,0.00900438781928011,1.41735750424713
"L2_smooth","design","Fully-Aware",1000,0.209204373074215,0.0100771254750356,0.0434248594716624,0.0430365800181791,0.991058590443183,0.943,0.00733150734842434,1.40973772824995
"L2_smooth","raked","Fully-Aware",1000,0.209204373074215,0.0102311294401064,0.0436342714611477,0.0431281399365451,0.988400596419876,0.94,0.00750999334220744,1.41735750424713
"L2_smooth","design","Fully-Aware-CF",1000,0.209204373074215,0.0131827041003326,0.04503538007956,0.047479407039331,1.05426904259392,0.951,0.00682634602111555,1.40973772824995
"L2_smooth","raked","Fully-Aware-CF",1000,0.209204373074215,0.0131311623609959,0.0445109787577632,0.047591579855869,1.06920991593717,0.95,0.00689202437604511,1.41735750424713
"L2_smooth","design","Fully-Aware-CV",1000,0.209204373074215,0.00821414479364763,0.0439971685180511,0.0445168135812365,1.01181087512421,0.942,0.00739161687318817,1.40973772824995
"L2_smooth","raked","Fully-Aware-CV",1000,0.209204373074215,0.0087229237408871,0.04405366590525,0.0446372058851198,1.01324611625114,0.948,0.00702111102319284,1.41735750424713
"L2_smooth","design","Non-Aware",1000,0.209204373074215,0.0253427706612734,0.038983196836194,0.0240552395715125,0.617066878137055,0.685,0.0146892818068141,1.40973772824995
"L2_smooth","raked","Non-Aware",1000,0.209204373074215,0.0253001491043237,0.0389925456857464,0.0240520112309674,0.616836136445423,0.682,0.0147267104269759,1.41735750424713
"L2_smooth","design","Partially-Aware",1000,0.209204373074215,0.0100771254750356,0.0434248594716624,0.0387713128581499,0.892836806609603,0.915,0.00881901355027874,1.40973772824995
"L2_smooth","raked","Partially-Aware",1000,0.209204373074215,0.0102311294401064,0.0436342714611477,0.0388752705573825,0.890934333394277,0.914,0.00886588969026797,1.41735750424713
