"rung","alpha_tag","alpha_g","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov"
"L2_smooth","base",0.262364264467491,"Fully-Aware",1000,0.209204373074215,0.0101138362223471,0.0434764464218428,0.043019164855337,0.989482085033609,0.937,0.00768316341099159
"L2_smooth","base",0.262364264467491,"Fully-Aware-CF",1000,0.209204373074215,0.0131241181013463,0.0445107434190708,0.0474530996731861,1.06610440599504,0.951,0.00682634602111555
"L2_smooth","base",0.262364264467491,"Fully-Aware-CV",1000,0.209204373074215,0.00831478649516376,0.0441681743993382,0.0445651760656438,1.00898841013251,0.94,0.00750999334220744
"L2_smooth","base",0.262364264467491,"Non-Aware",1000,0.209204373074215,0.0253203617866197,0.0389051674537937,0.024055628391604,0.618314480208164,0.685,0.0146892818068141
"L2_smooth","base",0.262364264467491,"Partially-Aware",1000,0.209204373074215,0.0101138362223471,0.0434764464218428,0.0387393492150379,0.891042217184868,0.917,0.00872416185085994
"L2_smooth","mid",0.916290731874155,"Fully-Aware",1000,0.209204373074215,0.033475893060065,0.070312569816341,0.04986782089851,0.709230526330733,0.819,0.0121753439376471
"L2_smooth","mid",0.916290731874155,"Fully-Aware-CF",1000,0.209204373074215,0.0387118602386528,0.0668790226263879,0.0564632146948893,0.844258969068892,0.86,0.0109726933794762
"L2_smooth","mid",0.916290731874155,"Fully-Aware-CV",1000,0.209204373074215,0.0364029670002554,0.0705635140989217,0.0503935349191359,0.714158521760836,0.815,0.0122790471943062
"L2_smooth","mid",0.916290731874155,"Non-Aware",1000,0.209204373074215,0.0306032849938113,0.0487000400061423,0.0302423087060734,0.620991455084207,0.693,0.0145859864253331
"L2_smooth","mid",0.916290731874155,"Partially-Aware",1000,0.209204373074215,0.033475893060065,0.070312569816341,0.0461139127382512,0.655841663285845,0.777,0.0131632442809514
"L2_smooth","high",1.6094379124341,"Fully-Aware",999,0.209204373074215,0.0622921119504497,0.100793085706308,0.050405872023112,0.500092557638184,0.638638638638639,0.0151990242520577
"L2_smooth","high",1.6094379124341,"Fully-Aware-CF",999,0.209204373074215,0.0696090372079677,0.0868735350812044,0.0542397797974401,0.624353317114814,0.683683683683684,0.0147131499390689
"L2_smooth","high",1.6094379124341,"Fully-Aware-CV",999,0.209204373074215,0.0762248856331549,0.0955283158701996,0.0477042635606397,0.499373019675742,0.593593593593594,0.0155396821382934
"L2_smooth","high",1.6094379124341,"Non-Aware",999,0.209204373074215,0.042611762764632,0.0644687487460475,0.0360402641042441,0.559034645549152,0.642642642642643,0.0151618916847266
"L2_smooth","high",1.6094379124341,"Partially-Aware",999,0.209204373074215,0.0622921119504497,0.100793085706308,0.0478326718985249,0.474563027447145,0.605605605605606,0.015462423568357
"L4_aggressive","base",0.262364264467491,"Fully-Aware",1000,0.209204373074215,0.0885250214913569,0.117156093706459,0.022972082324448,0.196080985612286,0.23,0.0133078923951165
"L4_aggressive","base",0.262364264467491,"Fully-Aware-CF",1000,0.209204373074215,0.00200823141665965,0.0460980493844564,0.0665912579579389,1.44455695733608,0.986,0.00371537346709587
"L4_aggressive","base",0.262364264467491,"Non-Aware",1000,0.209204373074215,0.0461050845955502,0.0376920248134908,0.0120966688547516,0.320934439436694,0.249,0.0136747577675073
"L4_aggressive","base",0.262364264467491,"Partially-Aware",1000,0.209204373074215,0.0885250214913569,0.117156093706459,0.0197894663459735,0.168915382204165,0.196,0.0125532465920175
"L4_aggressive","high",1.6094379124341,"Fully-Aware",1000,0.209204373074215,0.187510356872334,0.159870737608669,0.0234178377410317,0.146479825459703,0.163,0.0116803681448831
"L4_aggressive","high",1.6094379124341,"Fully-Aware-CF",1000,0.209204373074215,0.0774697615325018,0.0883059422209868,0.0642547716949019,0.727638141656463,0.725,0.0141200212464429
"L4_aggressive","high",1.6094379124341,"Non-Aware",1000,0.209204373074215,0.218465468745628,0.0632944927823689,0.0121820913349699,0.192466845051697,0,0
"L4_aggressive","high",1.6094379124341,"Partially-Aware",1000,0.209204373074215,0.187510356872334,0.159870737608669,0.0197417893032555,0.123485946199732,0.14,0.0109726933794762
