"rung","V_cf","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov"
"L2_smooth",2,"Fully-Aware",1000,0.209204373074215,0.0101596585171129,0.043452111669914,0.043075384286338,0.991330055799408,0.94,0.00750999334220744
"L2_smooth",2,"Fully-Aware-CF",1000,0.209204373074215,0.0145250862652311,0.0469651924338075,0.049100385042289,1.0454632994742,0.943,0.00733150734842434
"L2_smooth",2,"Fully-Aware-CV",1000,0.209204373074215,0.0083364694375973,0.0439823440972487,0.0445572565559543,1.01307143742576,0.938,0.00762600813007697
"L2_smooth",2,"Non-Aware",1000,0.209204373074215,0.0253112313242835,0.0390461650035372,0.0240520149065186,0.61598917343969,0.684,0.0147018366199601
"L2_smooth",2,"Partially-Aware",1000,0.209204373074215,0.0101596585171129,0.043452111669914,0.038798124463626,0.89289387724946,0.915,0.00881901355027874
"L2_smooth",5,"Fully-Aware",1000,0.209204373074215,0.0101603098331463,0.043342805304244,0.0430125974916475,0.992381484994369,0.935,0.0077958322198467
"L2_smooth",5,"Fully-Aware-CF",1000,0.209204373074215,0.0129476427188211,0.044863172332671,0.047377242358144,1.05603861463096,0.952,0.00675988165576884
"L2_smooth",5,"Fully-Aware-CV",1000,0.209204373074215,0.00823744460589532,0.0442004418446285,0.0444528988535591,1.00571163993831,0.943,0.00733150734842434
"L2_smooth",5,"Non-Aware",1000,0.209204373074215,0.0253076928141729,0.0389736633874739,0.0240546228941116,0.617201997537719,0.682,0.0147267104269759
"L2_smooth",5,"Partially-Aware",1000,0.209204373074215,0.0101603098331463,0.043342805304244,0.0387422499756174,0.893856539826319,0.913,0.00891240708226459
"L2_smooth",10,"Fully-Aware",1000,0.209204373074215,0.0102360196630299,0.0433877528338302,0.0429969556168487,0.990992914095408,0.939,0.00756828910652864
"L2_smooth",10,"Fully-Aware-CF",1000,0.209204373074215,0.0127747574347476,0.0443313130225311,0.0471930712610385,1.06455387949039,0.947,0.00708456067798138
"L2_smooth",10,"Fully-Aware-CV",1000,0.209204373074215,0.00817860605126783,0.0441988130842436,0.0446301958197074,1.0097600524847,0.94,0.00750999334220744
"L2_smooth",10,"Non-Aware",1000,0.209204373074215,0.0252734279088528,0.0389674131682486,0.0240553988309609,0.617320906756051,0.689,0.0146382717559144
"L2_smooth",10,"Partially-Aware",1000,0.209204373074215,0.0102360196630299,0.0433877528338302,0.03872828419165,0.892608666320532,0.914,0.00886588969026797
"L4_aggressive",2,"Fully-Aware",1000,0.209204373074215,0.0889172046751647,0.117356027001296,0.0229479507972518,0.195541306089021,0.227,0.0132465467198059
"L4_aggressive",2,"Fully-Aware-CF",1000,0.209204373074215,0.0022674450223254,0.0465670340274656,0.0698853130119859,1.50074649312574,0.986,0.00371537346709587
"L4_aggressive",2,"Non-Aware",1000,0.209204373074215,0.0457355173263876,0.0374861376661629,0.0120964219186602,0.322690537669854,0.259,0.0138534833164804
"L4_aggressive",2,"Partially-Aware",1000,0.209204373074215,0.0889172046751647,0.117356027001296,0.0197662007711945,0.168429362140696,0.187,0.0123300851578568
"L4_aggressive",5,"Fully-Aware",1000,0.209204373074215,0.0893125388837249,0.117180713389535,0.0229682275008451,0.196006892571933,0.228,0.0132671021704063
"L4_aggressive",5,"Fully-Aware-CF",1000,0.209204373074215,0.00163750766229859,0.0460804202679105,0.0662104367785591,1.43684533243432,0.986,0.00371537346709587
"L4_aggressive",5,"Non-Aware",1000,0.209204373074215,0.0459629715408269,0.0375099726774907,0.0120977365249836,0.322520536844948,0.238,0.0134668481835951
"L4_aggressive",5,"Partially-Aware",1000,0.209204373074215,0.0893125388837249,0.117180713389535,0.0197898025616674,0.168882762267214,0.193,0.0124800240384384
"L4_aggressive",10,"Fully-Aware",1000,0.209204373074215,0.0880117471969837,0.117643552468957,0.0229440535091547,0.195030267512612,0.226,0.0132258837133857
"L4_aggressive",10,"Fully-Aware-CF",1000,0.209204373074215,0.000959122760057024,0.0461475992325678,0.0657023679296894,1.42374400883938,0.982,0.00420428352992517
"L4_aggressive",10,"Non-Aware",1000,0.209204373074215,0.0460653823418286,0.0377454583098308,0.0120970695201092,0.320490730853266,0.247,0.0136378517369856
"L4_aggressive",10,"Partially-Aware",1000,0.209204373074215,0.0880117471969837,0.117643552468957,0.0197603362009352,0.167967863824492,0.185,0.0122790471943062
