"example","label","method","b","se","df","b_imp_sd","within_se","between_sd","riv","fmi","M","lcl","ucl","signif"
"E1","Short sleep -> obesity","Fully-Aware",0.0355,0.0078,91.625,5e-04,0.0077,5e-04,0.0047,0.0257,40,0.0201,0.0509,TRUE
"E1","Short sleep -> obesity","Partially-Aware",0.0355,0.0082,30415.8891,5e-04,0.0081,5e-04,0.0043,0.0043,40,0.0195,0.0514,TRUE
"E1","Short sleep -> obesity","Non-Aware",0.0353,0.0058,29629.011,5e-04,0.0057,5e-04,0.007,0.007,40,0.0241,0.0466,TRUE
"E1","Short sleep -> obesity","Fully-Aware-CV",0.0354,0.0077,91.3439,7e-04,0.0077,7e-04,0.0077,0.0287,40,0.02,0.0507,TRUE
"E1","Short sleep -> obesity","Fully-Aware-CF",0.0357,0.0078,90.799,9e-04,0.0077,9e-04,0.0135,0.0343,40,0.0202,0.0512,TRUE
"E2","Food insecurity -> depression","Fully-Aware",0.0926,0.0121,84.3662,0.0032,0.0117,0.0032,0.0787,0.0941,40,0.0685,0.1168,TRUE
"E2","Food insecurity -> depression","Partially-Aware",0.0926,0.0117,5115.9667,0.0032,0.0112,0.0032,0.0853,0.079,40,0.0697,0.1156,TRUE
"E2","Food insecurity -> depression","Non-Aware",0.0712,0.0063,6226.042,0.0016,0.006,0.0016,0.0747,0.0698,40,0.0589,0.0834,TRUE
"E2","Food insecurity -> depression","Fully-Aware-CV",0.0863,0.0081,88.3598,0.0015,0.0079,0.0015,0.0386,0.0583,40,0.0702,0.1024,TRUE
"E2","Food insecurity -> depression","Fully-Aware-CF",0.0868,0.0082,84.9644,0.0021,0.0079,0.0021,0.0727,0.089,40,0.0705,0.1032,TRUE
"E3","E-cigarette use -> hypertension","Fully-Aware",0.0346,0.025,28.123,0.0011,0.025,0.0011,0.0021,0.0662,40,-0.0167,0.0859,FALSE
"E3","E-cigarette use -> hypertension","Partially-Aware",0.0346,0.0286,10708.2154,0.0011,0.0285,0.0011,0.0016,0.0018,40,-0.0214,0.0906,FALSE
"E3","E-cigarette use -> hypertension","Non-Aware",0.0725,0.0153,10673.6771,8e-04,0.0153,8e-04,0.003,0.0032,40,0.0425,0.1026,TRUE
"E3","E-cigarette use -> hypertension","Fully-Aware-CV",0.0403,0.0199,28.1224,9e-04,0.0199,9e-04,0.0021,0.0662,40,-6e-04,0.0811,FALSE
"E3","E-cigarette use -> hypertension","Fully-Aware-CF",0.0319,0.0205,27.0119,0.0041,0.02,0.0041,0.0421,0.1044,40,-0.01,0.0739,FALSE
"E4","GDM history -> hypertension (hardened)","Fully-Aware",0.0275,0.0252,88.9213,0.0044,0.0248,0.0044,0.0329,0.0529,40,-0.0226,0.0775,FALSE
"E4","GDM history -> hypertension (hardened)","Partially-Aware",0.0275,0.0254,8362.6674,0.0044,0.025,0.0044,0.0324,0.0317,40,-0.0223,0.0772,FALSE
"E4","GDM history -> hypertension (hardened)","Non-Aware",0.0299,0.0193,9795.1753,0.0026,0.0192,0.0026,0.0191,0.019,40,-0.008,0.0678,FALSE
"E4","GDM history -> hypertension (hardened)","Fully-Aware-CV",0.0154,0.022,90.7393,0.0026,0.0218,0.0026,0.0141,0.035,40,-0.0282,0.059,FALSE
"E4","GDM history -> hypertension (hardened)","Fully-Aware-CF",0.0142,0.0237,88.8505,0.0042,0.0234,0.0042,0.0336,0.0536,40,-0.033,0.0614,FALSE
