"example","label","rung","n_domain","n_psu","n_strata","design_df","A_prev","Y_prev","deff_eif","icc_eif","weight_cv","min_psu_stratum","g_fa_min","g_fa_max","g_fa_near_bound","g_cf_min","g_cf_max","eps_fa","eps_cf","cf_V_eff"
"E1","Short sleep -> obesity","L1_param",30983,184,90,94,0.3661,0.3828,0.8837,0,0.9213,2,0.1283,0.8105,0,0.1466,0.7952,0.002,0.0075,2
"E1","Short sleep -> obesity","L2_smooth",30983,184,90,94,0.3661,0.3828,0.9042,0,0.9213,2,0.1042,0.8007,0,0.1169,0.8053,0.0146,0.0107,2
"E1","Short sleep -> obesity","L3_adaptive",30983,184,90,94,0.3661,0.3828,0.896,0,0.9213,2,0.117,0.7777,0,0.103,0.7628,0.0154,0.0093,2
"E1","Short sleep -> obesity","L4_aggressive",30983,184,90,94,0.3661,0.3828,1.1818,0.0032,0.9213,2,0,1,0.1647,0.05,0.95,0.0466,0.0426,2
"E2","Food insecurity -> depression","L1_param",29359,184,90,94,0.1975,0.0917,1.0436,0,0.919,2,0.005,0.8638,0.2927,0.05,0.8508,0.0113,0.0232,2
"E2","Food insecurity -> depression","L2_smooth",29359,184,90,94,0.1975,0.0917,1.0622,2e-04,0.919,2,0.0028,0.8197,0.2935,0.05,0.8165,0.0105,0.0246,2
"E2","Food insecurity -> depression","L3_adaptive",29359,184,90,94,0.1975,0.0917,1.3733,0.0024,0.919,2,0.0022,0.8508,0.3241,0.05,0.7823,0.0216,0.0364,2
"E2","Food insecurity -> depression","L4_aggressive",29359,184,90,94,0.1975,0.0917,1.3412,0.0014,0.919,2,0,1,0.4156,0.05,0.906,0.1886,0.1251,2
"E3","E-cigarette use -> hypertension","L1_param",10736,60,30,30,0.1812,0.5523,0.9172,7e-04,1.0583,2,0.0018,0.9637,0.3899,0.05,0.95,0.0192,0.014,2
"E3","E-cigarette use -> hypertension","L2_smooth",10736,60,30,30,0.1812,0.5523,0.7514,4e-04,1.0583,2,0.002,0.9718,0.4213,0.05,0.95,0.0031,0.0193,2
"E3","E-cigarette use -> hypertension","L3_adaptive",10736,60,30,30,0.1812,0.5523,1.4615,0.003,1.0583,2,0.0019,0.9599,0.4253,0.05,0.95,0.0215,0.0104,2
"E3","E-cigarette use -> hypertension","L4_aggressive",10736,60,30,30,0.1812,0.5523,1.4583,0.0043,1.0583,2,0,1,0.5807,0.05,0.95,0.0343,0.0095,2
"E4","GDM history -> hypertension (hardened)","L1_param",10956,184,90,94,0.0622,0.5097,1.079,0.0013,0.8867,2,0.0022,0.7952,0.5194,0.05,0.5895,0.0041,0.0154,2
"E4","GDM history -> hypertension (hardened)","L2_smooth",10956,184,90,94,0.0622,0.5097,1.0354,0.0019,0.8867,2,0.0017,0.7121,0.507,0.05,0.5524,0.0059,0.0188,2
"E4","GDM history -> hypertension (hardened)","L3_adaptive",10956,184,90,94,0.0622,0.5097,0.9711,0.0022,0.8867,2,0.0021,0.759,0.5124,0.05,0.5762,0.0059,0.0292,2
"E4","GDM history -> hypertension (hardened)","L4_aggressive",10956,184,90,94,0.0622,0.5097,1.2354,0.0168,0.8867,2,0,1,0.684,0.05,0.628,0.0237,0.0331,2
